wave_num,CAOX-1-1,CAOX-1-2,CAOX-1-3,CAOX-1-4,CAOX-1-5,CAOX-1-6,CAOX-2-1,CAOX-2-2,CAOX-2-3,CAOX-2-4,CAOX-2-5,CAOX-2-6,DCY-1-1,DCY-1-2,DCY-1-3,DCY-1-4,DCY-1-5,DCY-1-6,DCY-2-1,DCY-2-2,DCY-2-3,DCY-2-4,DCY-2-5,DCY-2-6,URIC-1-1,URIC-1-2,URIC-1-3,URIC-1-4,URIC-1-5,URIC-1-6,URIC-2-1,URIC-2-2,URIC-2-3,URIC-2-4,URIC-2-5,URIC-2-6,APA-1-1,APA-1-2,APA-1-3,APA-1-4,APA-1-5,APA-1-6,DCP-1-1,DCP-1-2,DCP-1-3,DCP-1-4,DCP-1-5,DCP-1-6
2.141058806,0.3093,0.30813,0.29697,0.31219,0.29854,0.30005,0.55732,0.54319,0.51576,0.55886,0.52051,0.51364,1.07434,1.02191,1.00592,0.98658,1.05262,0.99173,1.63062,2.34895,1.93402,1.80662,1.98338,1.86391,0.18491,0.17625,0.19473,0.19211,0.17946,0.17881,0.30952,0.30738,0.30317,0.32679,0.30784,0.29936,0.99247,0.99293,0.97239,0.9896,0.97129,0.98128,0.6542237841045074,0.6575183272786164,0.6411417442501047,0.6491080624498952,0.6388002529648847,0.6263428920468554
2.126592259,0.30848,0.31148,0.30384,0.30623,0.3006,0.31003,0.5663,0.5421,0.52484,0.56122,0.53766,0.51389,1.17505,1.09395,1.03503,0.97414,1.10088,0.99027,1.53628,1.53698,1.87646,1.78465,1.77707,1.98823,0.17676,0.17125,0.19664,0.18123,0.17365,0.17292,0.2855,0.29959,0.29714,0.30498,0.30214,0.28771,0.99379,0.98295,0.97721,0.98171,0.96603,0.9706,0.6450420453028827,0.6391601922946543,0.6339738678425577,0.6385408699053986,0.6360356743693396,0.6329826274395179
2.112125413,0.31197,0.31044,0.32352,0.29336,0.30865,0.31768,0.56875,0.54575,0.54581,0.54295,0.55755,0.52433,1.29945,1.19133,1.07101,1.02521,1.16859,1.0633,1.3676,1.45352,1.8317,2.1242,1.82647,1.78613,0.1698,0.17104,0.19372,0.16641,0.16951,0.16698,0.27008,0.28915,0.29593,0.28647,0.28803,0.28394,0.98241,0.96474,0.96801,0.95975,0.95472,0.95098,0.6268146582854742,0.6274772892879915,0.622890175626376,0.6179595948215,0.6255588046633451,0.6182593379148924
2.097658866,0.3269,0.31378,0.3427,0.29725,0.31892,0.32477,0.57175,0.56353,0.56506,0.53688,0.58744,0.54965,1.39468,1.26091,1.14984,1.10489,1.24471,1.19707,1.34134,1.57956,1.89452,2.2109,1.91154,1.97577,0.16608,0.17062,0.18212,0.15953,0.16858,0.16849,0.26758,0.27801,0.29176,0.28041,0.27402,0.28248,0.96667,0.96542,0.94947,0.95801,0.95325,0.95458,0.6162629460928163,0.6246033206195069,0.6092685058741479,0.6105476108188779,0.6156193562400629,0.6100639374304144
2.083192319,0.35384,0.33182,0.34921,0.32943,0.33514,0.33644,0.57333,0.58978,0.57925,0.57108,0.63162,0.59589,1.38235,1.26873,1.33888,1.1919,1.32488,1.34562,1.41017,1.65625,2.04857,2.27554,1.73337,1.89947,0.16641,0.16892,0.16873,0.1636,0.16818,0.17355,0.27192,0.26991,0.28453,0.28401,0.27138,0.27519,0.95449,0.95113,0.95186,0.95556,0.94706,0.94813,0.6094577329226534,0.6078791494627689,0.6010722246966964,0.6041762923963294,0.5956584925614054,0.5980668906535921
2.068725773,0.38594,0.35817,0.35177,0.36724,0.35547,0.35304,0.58894,0.60114,0.59784,0.62827,0.65817,0.6482,1.40336,1.2752,1.62646,1.29894,1.36233,1.48806,1.41288,1.73562,1.72211,1.77736,1.69694,1.70872,0.1698,0.16621,0.16371,0.17025,0.17063,0.1727,0.27554,0.26653,0.28384,0.28517,0.27563,0.26301,0.95238,0.93658,0.94764,0.94137,0.92827,0.93048,0.6065509779433144,0.59479886958752,0.590948818069848,0.5990400312303621,0.5952700077051397,0.5920762976929208
2.054258926,0.39582,0.36802,0.35967,0.3863,0.36647,0.37001,0.62572,0.59855,0.61578,0.66621,0.65044,0.65616,1.50569,1.29068,1.74947,1.39675,1.35468,1.53499,1.38513,1.67072,1.65122,1.59273,1.70776,1.66249,0.1664,0.16288,0.16651,0.17259,0.17589,0.16423,0.26904,0.26643,0.28529,0.27908,0.27925,0.25381,0.94378,0.94217,0.91868,0.92453,0.92942,0.9328,0.5892288778992665,0.5823423579089099,0.5848003629557653,0.5881856417342769,0.5874547373346958,0.5832373567898325
2.039792379,0.36716,0.3572,0.36881,0.3807,0.36257,0.37516,0.63653,0.59878,0.60769,0.65691,0.63432,0.61328,1.40929,1.278,1.50635,1.37421,1.34263,1.35712,1.49227,1.54819,1.93159,1.74934,1.8137,1.54809,0.15577,0.16124,0.16806,0.17005,0.17643,0.15687,0.25615,0.26733,0.27421,0.26946,0.28058,0.2562,0.93444,0.93223,0.92779,0.92286,0.90877,0.91897,0.5639274924305192,0.566291642101783,0.5777311052509176,0.577881787937546,0.5664134374622969,0.5680479514056109
2.025325833,0.32946,0.34349,0.36337,0.3621,0.34998,0.36158,0.59457,0.58996,0.58092,0.61056,0.61651,0.56749,1.25938,1.16372,1.25355,1.24577,1.31526,1.18467,1.55394,1.85574,2.00683,1.84656,1.71838,1.42604,0.14808,0.16463,0.16721,0.16452,0.16913,0.15363,0.24799,0.26732,0.25933,0.26037,0.27896,0.26497,0.91811,0.92259,0.9135,0.92152,0.91632,0.92008,0.5665471297640274,0.5689188098039851,0.5566155797144208,0.569054164149397,0.5644380871530676,0.5592160289523337
2.010859286,0.31125,0.33031,0.34516,0.34465,0.33749,0.33556,0.54608,0.56419,0.55555,0.5575,0.59158,0.5338,1.19111,1.01793,1.10161,1.13266,1.23103,1.08556,1.59657,1.67101,1.8219,1.58492,1.71733,1.47697,0.1431,0.16909,0.16935,0.15906,0.16048,0.14776,0.246,0.26402,0.25739,0.25278,0.27611,0.26755,0.91627,0.90237,0.89653,0.90589,0.91089,0.92347,0.5573340577567087,0.5474112468082811,0.5524898261273585,0.5517230230757862,0.5567446335751574,0.5498729936834382
1.996392739,0.31024,0.31235,0.33207,0.32581,0.32548,0.30931,0.51733,0.54711,0.52536,0.52124,0.56242,0.51546,1.12041,0.92066,1.03694,1.07245,1.09351,1.02207,1.47151,1.46164,1.56901,1.67497,1.91451,1.74993,0.13886,0.16588,0.16883,0.1553,0.15577,0.14191,0.24897,0.25775,0.26313,0.24525,0.27146,0.2644,0.9097,0.89501,0.90647,0.90451,0.89215,0.90126,0.5394503945489251,0.5385938106739382,0.542904422474515,0.5437082268359728,0.5459042823796015,0.5410689917402727
1.981925893,0.31043,0.29686,0.32704,0.3066,0.30992,0.29297,0.50284,0.54606,0.49172,0.50892,0.53499,0.52147,0.99551,0.87678,0.98542,1.03828,0.9481,0.952,1.43276,1.45289,1.43969,1.69574,1.78384,1.77778,0.13728,0.1553,0.16131,0.15372,0.15264,0.14161,0.2563,0.24778,0.26093,0.24,0.26253,0.25675,0.89408,0.90262,0.88956,0.88463,0.89028,0.8885,0.5375297831606918,0.5370136101128931,0.531719758878302,0.5306741652358492,0.5326668299913522,0.5228785233474843
1.967459346,0.31322,0.29899,0.3164,0.30566,0.30163,0.291,0.50695,0.53874,0.47703,0.51285,0.53154,0.54558,0.90042,0.86916,0.90984,0.93846,0.85218,0.86508,1.68574,1.45719,1.34923,1.47351,1.80899,1.7869,0.136,0.14675,0.15173,0.15424,0.14716,0.1462,0.25827,0.23733,0.25097,0.23508,0.25145,0.24478,0.89353,0.89499,0.88185,0.8927,0.87935,0.88056,0.5246283119056605,0.5262256264018869,0.5219557975336478,0.5230848496698113,0.5254119015402516,0.5125354906474844
1.952992799,0.32564,0.31551,0.30178,0.32593,0.31576,0.30458,0.53605,0.5278,0.49408,0.52547,0.55959,0.56608,0.85007,0.85447,0.82456,0.79765,0.80667,0.77626,1.71617,1.51404,1.27268,1.45525,1.9238,1.529,0.133,0.14665,0.1426,0.15273,0.14205,0.14979,0.2453,0.23546,0.23962,0.22632,0.23768,0.23674,0.8961,0.8928,0.89036,0.88515,0.87437,0.89098,0.5259790777015731,0.5104556319394862,0.5108119394068694,0.5216879495955952,0.518205133354431,0.5102875668240693
1.938526253,0.33793,0.32649,0.30624,0.34905,0.33922,0.33173,0.56968,0.55179,0.53394,0.54686,0.57637,0.56811,0.78268,0.77734,0.73954,0.68422,0.76961,0.71316,1.56571,1.44803,1.21355,1.34158,1.58567,1.29828,0.13325,0.15125,0.13338,0.14684,0.1399,0.14437,0.22541,0.23824,0.22681,0.2193,0.22183,0.22739,0.87481,0.87831,0.87665,0.86457,0.8715,0.87311,0.5075555495179245,0.5096889953725368,0.514540991250105,0.5066808819036164,0.5053718780467505,0.5027547021368449
