wave_num,S31,S32,S34,S35,S36,S37,S38,S39,S41,S42,S45,S48,S49,S50,S52,S54,S55,S57,S58,S62,S64,S69,S70
3.240521452,1.31759,1.446333333,0.89831,0.771541667,1.387371667,1.08333,1.015828333,0.664763333,0.74375,1.058168333,0.889593333,1.511183333,0.545376667,0.603021667,0.361726667,1.584455,1.882153333,0.694848333,1.279503333,0.580141667,0.577856667,1.956578333,0.599113333
3.226054605,1.308296667,1.42195,0.894185,0.76954,1.367201667,1.087718333,1.01285,0.658276667,0.73879,1.05616,0.886791667,1.495561667,0.534215,0.599118333,0.357756667,1.581735,1.929928333,0.684725,1.28065,0.572485,0.569153333,1.996015,0.594018333
3.211588059,1.303663333,1.382606667,0.887595,0.77133,1.332688333,1.091415,1.01691,0.6551,0.739238333,1.05363,0.87627,1.483685,0.525116667,0.595336667,0.35427,1.576225,1.851905,0.679218333,1.269795,0.564936667,0.561761667,2.021761667,0.586598333
3.197121512,1.283593333,1.365403333,0.883311667,0.77352,1.300926667,1.094735,1.02278,0.650341667,0.743615,1.05536,0.869681667,1.465686667,0.51959,0.591353333,0.349943333,1.575611667,1.76435,0.675638333,1.256503333,0.556825,0.557373333,1.978383333,0.576648333
3.182654965,1.261843333,1.381756667,0.884721667,0.774925,1.28977,1.098131667,1.027951667,0.6436,0.750308333,1.057151667,0.87452,1.440188333,0.514991667,0.589108333,0.345518333,1.571806667,1.707255,0.670395,1.252521667,0.54972,0.552601667,1.903765,0.567933333
3.168188119,1.250648333,1.40057,0.890623333,0.776585,1.297146667,1.099391667,1.035435,0.640713333,0.757521667,1.052266667,0.882896667,1.423391667,0.510211667,0.588333333,0.342788333,1.563996667,1.667836667,0.663786667,1.25821,0.544885,0.545106667,1.826403333,0.563816667
3.153721572,1.240683333,1.397655,0.896293333,0.77848,1.313655,1.094906667,1.03803,0.641865,0.760443333,1.045263333,0.885593333,1.435693333,0.504453333,0.587611667,0.342065,1.558693333,1.659735,0.659253333,1.26529,0.540586667,0.537048333,1.819401667,0.561906667
3.139255026,1.227476667,1.382,0.894891667,0.778105,1.303315,1.092815,1.041058333,0.642433333,0.761228333,1.041938333,0.88481,1.453585,0.499275,0.58732,0.342831667,1.549631667,1.69078,0.657621667,1.268783333,0.535718333,0.531531667,1.790666667,0.558606667
3.124788479,1.228821667,1.364198333,0.889415,0.782673333,1.268175,1.10347,1.060418333,0.641915,0.767861667,1.043016667,0.888476667,1.442683333,0.496665,0.587628333,0.345021667,1.548708333,1.711536667,0.65636,1.275888333,0.531376667,0.529386667,1.822241667,0.55378
3.110321932,1.244483333,1.354006667,0.890388333,0.800006667,1.245801667,1.11978,1.082831667,0.643638333,0.78148,1.042005,0.89781,1.411826667,0.495583333,0.587628333,0.34751,1.541013333,1.684801667,0.654051667,1.288916667,0.528395,0.52825,1.820948333,0.549991667
3.095855086,1.24651,1.364281667,0.899281667,0.822653333,1.247253333,1.128678333,1.08198,0.64834,0.799508333,1.037206667,0.908363333,1.388035,0.496086667,0.58786,0.349436667,1.502095,1.656655,0.650733333,1.301133333,0.528046667,0.525551667,1.82843,0.548583333
3.081388539,1.232845,1.383318333,0.911051667,0.833283333,1.242855,1.134243333,1.079025,0.65232,0.817278333,1.035163333,0.920066667,1.384371667,0.499858333,0.590885,0.352616667,1.47007,1.6723,0.649098333,1.307958333,0.53022,0.524105,1.825811667,0.549251667
3.066921992,1.230363333,1.384093333,0.919491667,0.836913333,1.226276667,1.147708333,1.093748333,0.654368333,0.832088333,1.038751667,0.935133333,1.397596667,0.505865,0.597111667,0.358395,1.469851667,1.674901667,0.651283333,1.31822,0.53243,0.527851667,1.825353333,0.552935
3.052455446,1.234605,1.370321667,0.922316667,0.847505,1.225483333,1.16566,1.114818333,0.65499,0.849455,1.050165,0.953633333,1.403358333,0.511318333,0.606306667,0.365835,1.483021667,1.635831667,0.657221667,1.336076667,0.534758333,0.535541667,1.781361667,0.558203333
3.037988899,1.229811667,1.36455,0.92794,0.867501667,1.233555,1.182528333,1.134128333,0.658636667,0.875538333,1.070116667,0.975951667,1.395826667,0.518563333,0.617673333,0.375983333,1.490036667,1.586766667,0.667096667,1.34794,0.538405,0.545481667,1.746086667,0.562621667
3.023522052,1.228716667,1.368775,0.94174,0.885881667,1.239468333,1.200283333,1.156911667,0.67191,0.904523333,1.092831667,0.999675,1.401465,0.52944,0.628518333,0.390551667,1.49362,1.562846667,0.677918333,1.34525,0.543253333,0.557428333,1.732988333,0.569535
3.009055506,1.241078333,1.374325,0.960221667,0.899168333,1.242205,1.21119,1.171365,0.689333333,0.922768333,1.109271667,1.018671667,1.403358333,0.543021667,0.638491667,0.407895,1.489416667,1.57984,0.688565,1.343575,0.551971667,0.57026,1.7249,0.581943333
2.994588959,1.246106667,1.378205,0.980926667,0.914381667,1.226558333,1.217786667,1.171545,0.701843333,0.925816667,1.117736667,1.032195,1.392786667,0.557588333,0.648883333,0.426566667,1.489686667,1.625738333,0.702601667,1.351216667,0.566398333,0.58451,1.707566667,0.595553333
2.980122412,1.234783333,1.38068,0.994806667,0.92548,1.202195,1.233983333,1.176868333,0.710586667,0.922366667,1.122676667,1.040316667,1.392158333,0.57032,0.659235,0.446156667,1.503883333,1.652395,0.71767,1.365275,0.582141667,0.601706667,1.68679,0.606938333
2.965655566,1.22185,1.370353333,0.992956667,0.917751667,1.195841667,1.247255,1.195223333,0.720505,0.922351667,1.121711667,1.040521667,1.411938333,0.581686667,0.664955,0.462621667,1.498638333,1.618935,0.728106667,1.381576667,0.594948333,0.619773333,1.67134,0.620146667
2.951189019,1.220711667,1.348716667,0.980013333,0.893931667,1.210386667,1.235808333,1.208045,0.731013333,0.92384,1.10907,1.030423333,1.418208333,0.592178333,0.664705,0.47239,1.474438333,1.621443333,0.73639,1.382681667,0.605538333,0.63312,1.67896,0.636298333
2.936722472,1.223506667,1.345326667,0.965733333,0.875693333,1.213178333,1.209903333,1.193946667,0.733895,0.91923,1.089396667,1.008835,1.381115,0.597848333,0.66436,0.478315,1.466983333,1.658596667,0.74678,1.36591,0.613878333,0.639186667,1.704336667,0.647435
2.922255926,1.210945,1.366266667,0.959321667,0.863341667,1.186895,1.193048333,1.16388,0.725431667,0.90279,1.070453333,0.985051667,1.332528333,0.596003333,0.664411667,0.48284,1.471921667,1.661816667,0.7536,1.337505,0.61731,0.641618333,1.724636667,0.648123333
2.907789379,1.196135,1.376838333,0.957021667,0.84773,1.148055,1.188683333,1.141333333,0.716601667,0.876835,1.051395,0.972561667,1.311001667,0.59363,0.659625,0.48378,1.475896667,1.619768333,0.75308,1.311796667,0.616088333,0.643066667,1.71904,0.643883333
2.893322532,1.190145,1.365213333,0.946848333,0.825575,1.127911667,1.177326667,1.126701667,0.713821667,0.85194,1.028611667,0.96261,1.317445,0.594576667,0.649231667,0.480745,1.478371667,1.54879,0.750798333,1.304045,0.6146,0.642298333,1.693495,0.642833333
